Rank,Name,Invited By,Proofs,Cycles,Stars
#1,0x4f93...5efb,@DanHennessy,11,"265,894,249","49,548"
#2,@chencrypt,@nair_advaith,43,"6,339,305,197","21,464"
#3,@stepaks576,@Ulaskurtuluss,20,"2,573,374,891","21,310"
#4,@Delta_web3,@st__4r,25,"4,998,525,296","20,772"
#5,@fijimlk,@mattstam_eth,210,"25,737,891,888","20,097"
#6,@SaiMoo_n,@jtguibas,65,"2,120,082,215","18,405"
#7,@joesofth3art,@jtguibas,63,"7,397,909,606","18,143"
#8,@shmula,-,387,"2,143,850,368","17,591"
#9,@tabgnuh,@0xGameOfArt,48,"3,707,900,963","17,501"
#10,@xDoB3Bw2DZKp4BS,@xxichampagne,58,"12,860,805,426","17,500"
#11,@nrlartt,@Seu3en,125,"3,181,268,701","16,940"
#12,@paopaocheeks,@363Rakesh,99,"5,580,558,859","16,673"
#13,0x14c9...18d5,@mattstam_eth,23,"6,902,074,232","16,612"
#14,@degenmonik,@DanHennessy,77,"3,816,745,974","16,231"
#15,@seamlese_man,@mattstam_eth,106,"8,846,441,907","15,724"
#16,@cryptowluha,@nekurishop,54,"8,695,897,074","15,574"
#17,@ouyoung11,@Oxrazo7,39,"6,656,292,334","15,513"
#18,@saitama0x_,@narhem79,20,"3,354,731,652","15,429"
#19,@LienePryor,@raylo_babe143,80,"8,227,342,946","15,196"
#20,@malta2888,@DanHennessy,78,"8,472,385,510","15,038"
#21,@pinkkbuny,-,47,"1,295,331,312","14,857"
#22,@monark__23,@teddi_speaks,63,"9,183,767,996","14,785"
#23,@nnewera3,@NameTr0uva1lle,9,"638,258,206","14,779"
#24,0x8a52...05a7,@IKeungkeung,89,"5,380,932,766","14,729"
#25,@Ho53903Ho,-,13,"1,372,614,196","14,693"
#26,@kiyo_crypt,@KozlowskiPauloX,28,"6,246,608,038","14,681"
#27,0x40e9...007a,@CryptoTvist,52,"6,789,857,220","14,600"
#28,@nadaeseternooo_,-,48,"6,145,574,780","14,574"
#29,@AnNguyen0104955,@ChadFra98523943,55,"8,570,346,151","14,485"
#30,@Stekk781,@MADMAD2607,39,"8,682,330,866","14,403"
#31,@ruztamov,-,100,"708,474,712","14,372"
#32,@melonmobster,@nair_advaith,36,"1,569,754,459","14,174"
#33,@pepenclaw,@zkzoomer,34,"2,068,534,781","14,169"
#34,@dmitriy_gggg,@zkzoomer,69,"15,312,776,697","14,169"
#35,@martinEderMi,@Franklinn311,138,"1,942,089,805","14,085"
#36,@asdqweokas,@kumanda56132042,60,"4,781,265,449","14,034"
#37,@Greta0086,@qpc6661,44,"7,247,687,094","14,032"
#38,@Evoyudhasamael,@mattstam_eth,53,"6,961,353,139","13,985"
#39,@qinlie737079,@misala42972479,32,"8,665,835,490","13,918"
#40,@zhouzhou840338,@nair_advaith,104,"8,797,636,881","13,901"
#41,@Yurii_week,@nair_advaith,24,"2,842,177,002","13,840"
#42,@hinoryucrypto,@cryptokeeper8,79,"5,532,189,469","13,830"
#43,@samicocm,@krakosbyr,36,"8,569,724,433","13,813"
#44,@lovecity0088,@GoGucci1,68,"8,269,249,240","13,756"
